Date,Open,High,Low,Close,Adj Close,Volume
2021-06-23,0.205000,0.205000,0.195000,0.200000,0.196667,5486800
2021-06-24,0.200000,0.205000,0.195000,0.195000,0.191750,3936200
2021-06-25,0.195000,0.200000,0.195000,0.195000,0.191750,1211900
2021-06-28,0.195000,0.195000,0.185000,0.190000,0.186833,4935300
2021-06-29,0.190000,0.195000,0.190000,0.195000,0.191750,1042500
2021-06-30,0.195000,0.200000,0.195000,0.200000,0.196667,970500
2021-07-01,0.200000,0.205000,0.195000,0.200000,0.196667,4697300
2021-07-02,0.200000,0.205000,0.195000,0.200000,0.196667,1735000
2021-07-05,0.200000,0.210000,0.200000,0.205000,0.201583,4455500
2021-07-06,0.215000,0.225000,0.210000,0.220000,0.216333,18180800
2021-07-07,0.220000,0.230000,0.215000,0.220000,0.216333,9529200
2021-07-08,0.215000,0.215000,0.205000,0.210000,0.206500,4997600
2021-07-09,0.210000,0.220000,0.210000,0.215000,0.211417,3341700
2021-07-12,0.220000,0.230000,0.215000,0.230000,0.226167,22772000
2021-07-13,0.235000,0.250000,0.220000,0.225000,0.221250,79511800
2021-07-14,0.225000,0.230000,0.210000,0.215000,0.211417,16731200
2021-07-15,0.215000,0.220000,0.210000,0.215000,0.211417,23865200
2021-07-16,0.210000,0.220000,0.210000,0.215000,0.211417,21539100
2021-07-19,0.220000,0.220000,0.210000,0.215000,0.211417,9002300
2021-07-21,0.215000,0.220000,0.210000,0.210000,0.206500,13162500
2021-07-22,0.210000,0.220000,0.210000,0.215000,0.211417,11895600
2021-07-23,0.215000,0.220000,0.210000,0.210000,0.206500,7706600
2021-07-26,0.210000,0.215000,0.200000,0.205000,0.201583,20245500
2021-07-27,0.205000,0.210000,0.200000,0.205000,0.201583,3417500
2021-07-28,0.205000,0.210000,0.200000,0.205000,0.201583,2418200
2021-07-29,0.205000,0.205000,0.195000,0.205000,0.201583,6284600
2021-07-30,0.200000,0.200000,0.195000,0.200000,0.196667,3155800
2021-08-02,0.205000,0.210000,0.200000,0.205000,0.201583,6986000
2021-08-03,0.210000,0.215000,0.205000,0.210000,0.206500,7088200
2021-08-04,0.210000,0.210000,0.200000,0.200000,0.196667,4744700
2021-08-05,0.205000,0.205000,0.200000,0.205000,0.201583,8020700
2021-08-06,0.205000,0.210000,0.200000,0.205000,0.201583,8115200
2021-08-09,0.205000,0.210000,0.205000,0.205000,0.201583,2481900
2021-08-11,0.205000,0.210000,0.200000,0.200000,0.196667,1727500
2021-08-12,0.205000,0.205000,0.200000,0.205000,0.201583,3667700
2021-08-13,0.205000,0.205000,0.200000,0.200000,0.196667,2345400
2021-08-16,0.200000,0.200000,0.195000,0.200000,0.196667,3985600
2021-08-17,0.195000,0.200000,0.195000,0.200000,0.196667,1589300
2021-08-18,0.200000,0.200000,0.195000,0.200000,0.196667,1742100
2021-08-19,0.195000,0.200000,0.195000,0.200000,0.196667,821200
2021-08-20,0.200000,0.210000,0.200000,0.205000,0.201583,8569900
2021-08-23,0.200000,0.205000,0.200000,0.205000,0.201583,4788000
2021-08-24,0.200000,0.205000,0.200000,0.205000,0.201583,2782000
2021-08-25,0.200000,0.205000,0.200000,0.200000,0.196667,3099000
2021-08-26,0.205000,0.205000,0.200000,0.200000,0.196667,3106200
2021-08-27,0.200000,0.205000,0.200000,0.200000,0.196667,2858200
2021-08-30,0.205000,0.205000,0.200000,0.200000,0.196667,3337300
2021-09-01,0.205000,0.205000,0.200000,0.200000,0.196667,1995600
2021-09-02,0.200000,0.205000,0.200000,0.200000,0.196667,6564100
2021-09-03,0.205000,0.215000,0.200000,0.210000,0.206500,23930800
2021-09-06,0.210000,0.210000,0.205000,0.205000,0.201583,6011700
2021-09-07,0.205000,0.205000,0.190000,0.195000,0.191750,31942800
2021-09-08,0.195000,0.195000,0.175000,0.175000,0.172083,36115000
2021-09-09,0.175000,0.180000,0.170000,0.180000,0.177000,13560700
2021-09-10,0.180000,0.185000,0.175000,0.180000,0.177000,5830800
2021-09-13,0.180000,0.180000,0.175000,0.175000,0.172083,5548500
2021-09-14,0.175000,0.180000,0.170000,0.175000,0.172083,3611000
2021-09-15,0.175000,0.185000,0.175000,0.185000,0.181917,6597000
2021-09-17,0.185000,0.190000,0.180000,0.185000,0.181917,4061000
2021-09-20,0.180000,0.185000,0.175000,0.180000,0.177000,5648700
2021-09-21,0.180000,0.185000,0.175000,0.180000,0.177000,4277900
2021-09-22,0.180000,0.185000,0.180000,0.180000,0.177000,680100
2021-09-23,0.180000,0.190000,0.180000,0.190000,0.186833,4963300
2021-09-24,0.190000,0.190000,0.185000,0.185000,0.181917,1636800
2021-09-27,0.190000,0.200000,0.175000,0.180000,0.177000,43506300
2021-09-28,0.185000,0.190000,0.175000,0.180000,0.177000,12033000
2021-09-29,0.175000,0.185000,0.175000,0.180000,0.177000,2540400
2021-09-30,0.180000,0.185000,0.175000,0.175000,0.172083,8430900
2021-10-01,0.175000,0.180000,0.175000,0.175000,0.172083,3652600
2021-10-04,0.175000,0.180000,0.175000,0.175000,0.172083,3926600
2021-10-05,0.180000,0.180000,0.175000,0.175000,0.172083,2703000
2021-10-06,0.175000,0.180000,0.175000,0.175000,0.172083,911100
2021-10-07,0.175000,0.180000,0.175000,0.175000,0.172083,4212100
2021-10-08,0.175000,0.185000,0.175000,0.185000,0.181917,8433000
2021-10-11,0.185000,0.185000,0.180000,0.185000,0.181917,3318300
2021-10-12,0.185000,0.185000,0.180000,0.185000,0.181917,733200
2021-10-13,0.185000,0.185000,0.180000,0.180000,0.177000,3327800
2021-10-14,0.180000,0.185000,0.180000,0.185000,0.181917,2858600
2021-10-15,0.180000,0.185000,0.180000,0.185000,0.181917,3703000
2021-10-18,0.185000,0.185000,0.180000,0.180000,0.177000,2599700
2021-10-20,0.180000,0.180000,0.180000,0.180000,0.177000,2556600
2021-10-21,0.180000,0.180000,0.175000,0.175000,0.172083,780900
2021-10-22,0.180000,0.180000,0.175000,0.180000,0.177000,952000
2021-10-25,0.180000,0.180000,0.175000,0.175000,0.172083,1415000
2021-10-26,0.175000,0.180000,0.175000,0.175000,0.172083,843400
2021-10-27,0.180000,0.180000,0.175000,0.175000,0.172083,6474900
2021-10-28,0.175000,0.175000,0.170000,0.175000,0.172083,690800
2021-10-29,0.175000,0.175000,0.170000,0.175000,0.172083,799100
2021-11-01,0.170000,0.175000,0.170000,0.175000,0.172083,392700
2021-11-02,0.175000,0.175000,0.170000,0.170000,0.167167,3731600
2021-11-03,0.170000,0.175000,0.165000,0.170000,0.167167,1724800
2021-11-05,0.170000,0.175000,0.170000,0.175000,0.172083,1006400
2021-11-08,0.170000,0.175000,0.170000,0.175000,0.172083,789600
2021-11-09,0.170000,0.175000,0.165000,0.170000,0.167167,1419000
2021-11-10,0.170000,0.170000,0.165000,0.170000,0.167167,2381100
2021-11-11,0.170000,0.170000,0.165000,0.170000,0.167167,597600
2021-11-12,0.170000,0.170000,0.165000,0.165000,0.162250,658500
2021-11-15,0.165000,0.170000,0.165000,0.170000,0.167167,959900
2021-11-16,0.170000,0.175000,0.170000,0.170000,0.167167,828700
2021-11-17,0.175000,0.180000,0.170000,0.175000,0.172083,2002800
2021-11-18,0.175000,0.175000,0.170000,0.170000,0.167167,693200
2021-11-19,0.170000,0.170000,0.170000,0.170000,0.167167,746300
2021-11-22,0.170000,0.175000,0.165000,0.170000,0.167167,950100
2021-11-23,0.170000,0.175000,0.165000,0.170000,0.167167,584100
2021-11-24,0.170000,0.175000,0.165000,0.165000,0.162250,414700
2021-11-25,0.165000,0.170000,0.165000,0.170000,0.167167,612900
2021-11-26,0.170000,0.175000,0.165000,0.170000,0.167167,1981400
2021-11-29,0.165000,0.170000,0.160000,0.165000,0.162250,4155200
2021-11-30,0.165000,0.175000,0.165000,0.170000,0.167167,1168900
2021-12-01,0.170000,0.170000,0.165000,0.170000,0.167167,214000
2021-12-02,0.170000,0.170000,0.160000,0.170000,0.167167,2443700
2021-12-06,0.165000,0.170000,0.160000,0.170000,0.167167,1310800
2021-12-07,0.170000,0.170000,0.160000,0.165000,0.162250,528900
2021-12-08,0.165000,0.170000,0.160000,0.170000,0.167167,2174700
2021-12-09,0.165000,0.170000,0.160000,0.165000,0.162250,569000
2021-12-10,0.165000,0.170000,0.160000,0.165000,0.162250,472500
2021-12-13,0.165000,0.170000,0.165000,0.165000,0.162250,358100
2021-12-14,0.170000,0.175000,0.165000,0.170000,0.167167,1122200
2021-12-15,0.170000,0.170000,0.160000,0.165000,0.162250,995600
2021-12-16,0.165000,0.170000,0.165000,0.170000,0.167167,1915300
2021-12-17,0.165000,0.170000,0.165000,0.165000,0.162250,882600
2021-12-20,0.165000,0.170000,0.165000,0.165000,0.162250,410000
2021-12-21,0.165000,0.165000,0.160000,0.165000,0.162250,1102500
2021-12-22,0.170000,0.170000,0.160000,0.165000,0.162250,503700
2021-12-23,0.160000,0.165000,0.160000,0.165000,0.162250,778300
2021-12-24,0.165000,0.170000,0.160000,0.165000,0.162250,895000
2021-12-27,0.165000,0.165000,0.160000,0.165000,0.162250,1078100
2021-12-28,0.165000,0.170000,0.165000,0.170000,0.167167,1193100
2021-12-29,0.165000,0.170000,0.165000,0.170000,0.167167,144600
2021-12-30,0.170000,0.170000,0.165000,0.170000,0.167167,320000
2021-12-31,0.165000,0.170000,0.165000,0.165000,0.162250,524300
2022-01-03,0.170000,0.170000,0.165000,0.165000,0.162250,246200
2022-01-04,0.170000,0.175000,0.165000,0.170000,0.167167,1898500
2022-01-05,0.170000,0.175000,0.170000,0.175000,0.172083,869500
2022-01-06,0.170000,0.170000,0.165000,0.165000,0.162250,266900
2022-01-07,0.165000,0.170000,0.165000,0.170000,0.167167,2631900
2022-01-10,0.170000,0.185000,0.170000,0.180000,0.177000,9470500
2022-01-11,0.175000,0.180000,0.170000,0.180000,0.177000,2933300
2022-01-12,0.175000,0.180000,0.170000,0.180000,0.177000,462600
2022-01-13,0.175000,0.180000,0.170000,0.175000,0.172083,1013600
2022-01-14,0.175000,0.175000,0.165000,0.165000,0.162250,4218300
2022-01-17,0.165000,0.170000,0.160000,0.165000,0.162250,714000
2022-01-19,0.165000,0.175000,0.165000,0.175000,0.172083,1966900
2022-01-20,0.170000,0.175000,0.165000,0.165000,0.162250,729200
2022-01-21,0.165000,0.170000,0.165000,0.170000,0.167167,2018400
2022-01-24,0.165000,0.170000,0.165000,0.165000,0.162250,784400
2022-01-25,0.160000,0.170000,0.155000,0.160000,0.157333,4392200
2022-01-26,0.160000,0.165000,0.160000,0.165000,0.162250,52000
2022-01-27,0.165000,0.165000,0.165000,0.165000,0.162250,228500
2022-01-28,0.165000,0.170000,0.160000,0.165000,0.162250,1801200
2022-01-31,0.160000,0.170000,0.160000,0.165000,0.162250,27500
2022-02-03,0.165000,0.165000,0.160000,0.165000,0.162250,947000
